flight_id,date,day_of_week,carrier,flight_number,tail_number,origin,origin_lat,origin_lon,dest,sched_dep_local,dep_hour,scheduled_arr_local,distance_km,temp_c,wind_speed_kmh,wind_gust_kmh,precip_mm,snowfall_cm,cloud_cover_pct,weather_code,dep_delay_min,arr_delay_min,delayed_15,cancelled,delay_cause,late_aircraft_delay_min,weather_delay_min,inbound_delay,sched_dep_datetime,prev_sched_arr,prev_date,turnaround_minutes,tight_turnaround,delay_probability,risk
2015-01-11_MQ2997,2015-01-11,7,MQ,2997,N0EGMQ,ORD,41.9796,-87.90446,BNA,19:05,19,20:32,658,-2.3,9.3,16.9,0.4,0.28,100,73,4.0,53.0,0.0,0,nas,0.0,0.0,26.0,2015-01-11 19:05:00,16:28,2015-01-11,315.0,0,0.4994695331974366,AMBER
2015-01-05_EV6071,2015-01-05,1,EV,6071,N10156,DEN,39.85841,-104.667,SLC,08:20,8,09:55,629,-12.6,12.6,28.8,0.0,0.0,100,3,24.0,29.0,1.0,0,carrier,11.0,0.0,0.0,2015-01-05 08:20:00,,,120.0,0,0.3372737367316225,GREEN
2015-01-10_EV4147,2015-01-10,6,EV,4147,N10156,ORD,41.9796,-87.90446,DSM,15:00,15,16:18,481,-9.5,17.8,35.3,0.0,0.0,93,3,12.0,7.0,0.0,0,none,,,29.0,2015-01-10 15:00:00,09:55,2015-01-05,7600.0,0,0.27624680919933203,GREEN
2015-01-10_EV3930,2015-01-10,6,EV,3930,N10156,ORD,41.9796,-87.90446,CLE,20:35,20,22:55,507,-7.1,17.0,34.6,0.0,0.0,100,3,35.0,25.0,1.0,0,carrier,0.0,0.0,7.0,2015-01-10 20:35:00,16:18,2015-01-10,335.0,0,0.5531291537562822,AMBER
2015-01-11_EV4750,2015-01-11,7,EV,4750,N10156,ORD,41.9796,-87.90446,MEM,12:55,12,14:52,790,-3.5,12.0,25.6,0.0,0.0,86,3,-4.0,-11.0,0.0,0,none,,,25.0,2015-01-11 12:55:00,22:55,2015-01-10,980.0,0,0.17312246593608954,GREEN
2015-01-11_US1971,2015-01-11,7,US,1971,N102UW,ORD,41.9796,-87.90446,CLT,18:25,18,21:22,964,-1.8,8.4,17.3,0.0,0.07,100,71,5.0,18.0,0.0,0,nas,0.0,5.0,0.0,2015-01-11 18:25:00,,,120.0,0,0.49896339214851243,AMBER
2015-01-05_OO6305,2015-01-05,1,OO,6305,N103SY,ORD,41.9796,-87.90446,BOI,09:30,9,12:31,2313,-19.5,12.2,25.6,0.0,0.0,2,0,11.0,32.0,0.0,0,nas,9.0,0.0,0.0,2015-01-05 09:30:00,,,120.0,0,0.6143744410407355,AMBER
2015-01-05_OO6437,2015-01-05,1,OO,6437,N103SY,ORD,41.9796,-87.90446,DFW,20:05,20,22:41,1291,-15.0,9.7,18.0,0.2,0.14,100,71,5.0,90.0,0.0,0,nas,5.0,0.0,32.0,2015-01-05 20:05:00,12:31,2015-01-05,635.0,0,0.5786715466883551,AMBER
2015-01-07_OO6533,2015-01-07,3,OO,6533,N103SY,ORD,41.9796,-87.90446,DCA,07:00,7,09:50,985,-18.0,22.5,49.7,0.0,0.0,46,1,4.0,-8.0,0.0,0,none,,,90.0,2015-01-07 07:00:00,22:41,2015-01-05,2095.0,0,0.44054362864150365,AMBER
2015-01-07_OO6357,2015-01-07,3,OO,6357,N103SY,ORD,41.9796,-87.90446,STL,12:31,12,13:47,415,-18.7,25.7,56.2,0.0,0.0,29,1,78.0,71.0,1.0,0,late_aircraft,65.0,6.0,-8.0,2015-01-07 12:31:00,09:50,2015-01-07,331.0,0,0.5848172319132244,AMBER
2015-01-08_OO6379,2015-01-08,4,OO,6379,N103SY,ORD,41.9796,-87.90446,BOS,06:20,6,09:35,1395,-24.8,17.2,34.2,0.0,0.0,100,3,19.0,16.0,1.0,0,weather,0.0,16.0,0.0,2015-01-08 06:20:00,19:20,2015-01-07,837.0,0,0.5006282972372855,AMBER
2015-01-09_OO6471,2015-01-09,5,OO,6471,N103SY,ORD,41.9796,-87.90446,DFW,12:44,12,15:20,1291,-16.4,24.1,48.6,0.0,0.0,98,3,120.0,109.0,1.0,0,weather,0.0,109.0,0.0,2015-01-09 12:44:00,20:29,2015-01-08,1144.0,0,0.6011451033879694,AMBER
2015-01-08_OO6357,2015-01-08,4,OO,6357,N105SY,ORD,41.9796,-87.90446,STL,12:31,12,13:47,415,-17.3,24.5,44.6,0.0,0.0,100,3,3.0,28.0,0.0,0,nas,0.0,3.0,0.0,2015-01-08 12:31:00,,,120.0,0,0.5754846497093715,AMBER
2015-01-09_OO6200,2015-01-09,5,OO,6200,N105SY,ORD,41.9796,-87.90446,SAT,12:04,12,15:09,1675,-16.4,24.1,48.6,0.0,0.0,98,3,176.0,181.0,1.0,0,carrier,0.0,0.0,28.0,2015-01-09 12:04:00,13:47,2015-01-08,1413.0,0,0.7292372092882909,RED
2015-01-10_OO6446,2015-01-10,6,OO,6446,N105SY,ORD,41.9796,-87.90446,DCA,11:00,11,13:50,985,-16.9,16.6,30.2,0.0,0.0,4,0,70.0,60.0,1.0,0,carrier,0.0,0.0,181.0,2015-01-10 11:00:00,15:09,2015-01-09,1376.0,0,0.5911486117735362,AMBER
2015-01-06_OO5205,2015-01-06,2,OO,5205,N106SY,ORD,41.9796,-87.90446,AUS,08:33,8,11:28,1574,-17.0,11.5,19.4,0.0,0.0,26,1,202.0,194.0,1.0,0,late_aircraft,194.0,0.0,0.0,2015-01-06 08:33:00,,,120.0,0,0.5343815264671758,AMBER
2015-01-11_OO6471,2015-01-11,7,OO,6471,N106SY,ORD,41.9796,-87.90446,DFW,12:44,12,15:20,1291,-3.5,12.0,25.6,0.0,0.0,86,3,3.0,6.0,0.0,0,none,,,194.0,2015-01-11 12:44:00,11:28,2015-01-06,7451.0,0,0.32765473690868036,GREEN
2015-01-05_OO5582,2015-01-05,1,OO,5582,N107SY,ORD,41.9796,-87.90446,ATL,06:15,6,09:13,975,-19.1,11.5,25.9,0.0,0.0,5,0,37.0,54.0,1.0,0,weather,0.0,37.0,0.0,2015-01-05 06:15:00,,,120.0,0,0.5302858956878036,AMBER
2015-01-05_OO5511,2015-01-05,1,OO,5511,N107SY,ORD,41.9796,-87.90446,STL,13:15,13,14:33,415,-15.7,15.8,37.1,0.0,0.0,69,2,84.0,84.0,1.0,0,late_aircraft,84.0,0.0,54.0,2015-01-05 13:15:00,09:13,2015-01-05,420.0,0,0.8374865112900994,RED
2015-01-05_OO5495,2015-01-05,1,OO,5495,N107SY,ORD,41.9796,-87.90446,SAT,17:55,17,21:06,1675,-15.5,7.4,23.4,0.0,0.0,100,3,58.0,34.0,1.0,0,late_aircraft,34.0,0.0,84.0,2015-01-05 17:55:00,14:33,2015-01-05,280.0,0,0.910198531695634,RED
2015-01-06_OO5254,2015-01-06,2,OO,5254,N107SY,ORD,41.9796,-87.90446,ATL,09:30,9,12:25,975,-17.5,12.6,22.3,0.0,0.0,21,1,0.0,-2.0,0.0,0,none,,,34.0,2015-01-06 09:30:00,21:06,2015-01-05,935.0,0,0.5566124815235857,AMBER
2015-01-06_OO5161,2015-01-06,2,OO,5161,N108SY,ORD,41.9796,-87.90446,DCA,12:00,12,14:50,985,-14.2,16.6,31.3,0.0,0.0,83,3,104.0,108.0,1.0,0,weather,0.0,104.0,0.0,2015-01-06 12:00:00,,,120.0,0,0.6081860372182913,AMBER
2015-01-06_OO6422,2015-01-06,2,OO,6422,N108SY,ORD,41.9796,-87.90446,SAT,20:20,20,23:25,1675,-14.3,19.5,44.3,0.0,0.0,97,3,27.0,-4.0,1.0,0,none,,,0.0,2015-01-06 20:20:00,20:29,2015-01-06,160.0,0,0.6374213877888704,AMBER
2015-01-07_OO6200,2015-01-07,3,OO,6200,N108SY,ORD,41.9796,-87.90446,SAT,12:04,12,15:09,1675,-18.7,25.7,56.2,0.0,0.0,29,1,0.0,-10.0,0.0,0,none,,,-4.0,2015-01-07 12:04:00,23:25,2015-01-06,944.0,0,0.37502900066189865,GREEN
2015-01-09_OO6422,2015-01-09,5,OO,6422,N108SY,ORD,41.9796,-87.90446,SAT,20:20,20,23:25,1675,-18.0,19.6,37.8,0.0,0.0,2,0,161.0,148.0,1.0,0,carrier,0.0,0.0,-10.0,2015-01-09 20:20:00,15:09,2015-01-07,3376.0,0,0.74476207037717,RED
2015-01-10_OO6395,2015-01-10,6,OO,6395,N108SY,ORD,41.9796,-87.90446,COS,18:00,18,19:49,1466,-7.8,19.5,34.2,0.0,0.0,100,3,185.0,188.0,1.0,0,late_aircraft,185.0,0.0,148.0,2015-01-10 18:00:00,23:25,2015-01-09,1300.0,0,0.6703498390395294,AMBER
2015-01-11_OO5201,2015-01-11,7,OO,5201,N108SY,ORD,41.9796,-87.90446,STL,12:31,12,13:47,415,-3.5,12.0,25.6,0.0,0.0,86,3,102.0,107.0,1.0,0,late_aircraft,102.0,0.0,188.0,2015-01-11 12:31:00,19:49,2015-01-10,1111.0,0,0.4695841003538799,AMBER
2015-01-11_OO6395,2015-01-11,7,OO,6395,N108SY,ORD,41.9796,-87.90446,COS,18:00,18,19:49,1466,-1.8,8.4,17.3,0.0,0.07,100,71,43.0,73.0,1.0,0,late_aircraft,43.0,0.0,107.0,2015-01-11 18:00:00,13:47,2015-01-11,329.0,0,0.8584731458831437,RED
2015-01-07_OO4969,2015-01-07,3,OO,4969,N109SY,ORD,41.9796,-87.90446,AUS,13:00,13,15:59,1574,-18.4,25.2,52.2,0.0,0.0,25,1,185.0,179.0,1.0,0,weather,0.0,179.0,0.0,2015-01-07 13:00:00,,,120.0,0,0.5139253243700789,AMBER
2015-01-08_OO5579,2015-01-08,4,OO,5579,N109SY,ORD,41.9796,-87.90446,MSP,06:32,6,08:02,538,-24.8,17.2,34.2,0.0,0.0,100,3,70.0,68.0,1.0,0,carrier,0.0,0.0,179.0,2015-01-08 06:32:00,15:59,2015-01-07,1052.0,0,0.47044846705883087,AMBER
2015-01-08_OO6446,2015-01-08,4,OO,6446,N109SY,ORD,41.9796,-87.90446,DCA,11:00,11,13:50,985,-19.4,21.6,40.7,0.0,0.0,100,3,43.0,81.0,1.0,0,late_aircraft,43.0,0.0,68.0,2015-01-08 11:00:00,08:02,2015-01-08,268.0,0,0.88882079336432,RED
2015-01-08_OO6460,2015-01-08,4,OO,6460,N109SY,ORD,41.9796,-87.90446,DCA,17:00,17,19:49,985,-12.5,25.6,52.9,0.3,0.21,100,73,325.0,396.0,1.0,0,late_aircraft,325.0,0.0,81.0,2015-01-08 17:00:00,13:50,2015-01-08,360.0,0,0.9870648550763694,RED
2015-01-09_OO5205,2015-01-09,5,OO,5205,N109SY,ORD,41.9796,-87.90446,AUS,08:33,8,11:28,1574,-16.5,16.9,39.6,0.0,0.0,34,1,8.0,3.0,0.0,0,none,,,396.0,2015-01-09 08:33:00,19:49,2015-01-08,933.0,0,0.4736999065472045,AMBER
2015-01-10_OO6511,2015-01-10,6,OO,6511,N109SY,ORD,41.9796,-87.90446,SLC,09:45,9,12:27,2012,-20.6,15.3,26.6,0.0,0.0,0,0,1.0,-13.0,0.0,0,none,,,3.0,2015-01-10 09:45:00,11:28,2015-01-09,1512.0,0,0.4699997726885674,AMBER
2015-01-10_OO6247,2015-01-10,6,OO,6247,N109SY,ORD,41.9796,-87.90446,SLC,18:10,18,20:44,2012,-7.8,19.5,34.2,0.0,0.0,100,3,7.0,64.0,0.0,0,nas,0.0,0.0,-13.0,2015-01-10 18:10:00,12:27,2015-01-10,505.0,0,0.40597655416223843,AMBER
2015-01-11_OO5205,2015-01-11,7,OO,5205,N109SY,ORD,41.9796,-87.90446,DCA,21:00,21,23:45,985,-2.6,8.8,16.2,0.3,0.21,100,73,39.0,81.0,1.0,0,nas,32.0,0.0,64.0,2015-01-11 21:00:00,20:44,2015-01-10,1610.0,0,0.7506942686978847,RED
2015-01-06_OO6395,2015-01-06,2,OO,6395,N110SY,ORD,41.9796,-87.90446,COS,18:00,18,19:49,1466,-14.1,20.4,43.6,0.0,0.0,90,3,50.0,72.0,1.0,0,carrier,16.0,0.0,0.0,2015-01-06 18:00:00,,,120.0,0,0.6742119026942448,AMBER
2015-01-07_OO5161,2015-01-07,3,OO,5161,N110SY,ORD,41.9796,-87.90446,DCA,12:00,12,14:50,985,-18.7,25.7,56.2,0.0,0.0,29,1,54.0,46.0,1.0,0,late_aircraft,46.0,0.0,72.0,2015-01-07 12:00:00,19:49,2015-01-06,1080.0,0,0.6195871107088596,AMBER
2015-01-07_OO6449,2015-01-07,3,OO,6449,N110SY,ORD,41.9796,-87.90446,SLC,17:40,17,20:14,2012,-18.9,15.8,42.1,0.0,0.0,19,0,110.0,113.0,1.0,0,carrier,29.0,0.0,46.0,2015-01-07 17:40:00,14:50,2015-01-07,340.0,0,0.8365238767366876,RED
2015-01-08_OO6471,2015-01-08,4,OO,6471,N110SY,ORD,41.9796,-87.90446,DFW,12:44,12,15:20,1291,-17.3,24.5,44.6,0.0,0.0,100,3,219.0,252.0,1.0,0,weather,87.0,132.0,0.0,2015-01-08 12:44:00,20:29,2015-01-07,1144.0,0,0.5570525066182364,AMBER
2015-01-10_OO6227,2015-01-10,6,OO,6227,N110SY,ORD,41.9796,-87.90446,SLC,11:49,11,14:32,2012,-16.9,16.6,30.2,0.0,0.0,4,0,70.0,76.0,1.0,0,carrier,0.0,0.0,252.0,2015-01-10 11:49:00,15:20,2015-01-08,2825.0,0,0.6216245700227631,AMBER
2015-01-05_EV4323,2015-01-05,1,EV,4323,N11106,DEN,39.85841,-104.667,TUL,10:06,10,12:40,871,-5.9,17.5,35.3,0.0,0.0,94,3,8.0,13.0,0.0,0,none,,,0.0,2015-01-05 10:06:00,,,120.0,0,0.6074779917370896,AMBER
2015-01-11_EV4578,2015-01-11,7,EV,4578,N11106,DEN,39.85841,-104.667,BHM,10:40,10,14:18,1743,-3.3,1.1,15.5,0.0,0.0,100,3,43.0,34.0,1.0,0,carrier,0.0,0.0,13.0,2015-01-11 10:40:00,12:40,2015-01-05,8674.0,0,0.5154909363643466,AMBER
2015-01-10_EV6023,2015-01-10,6,EV,6023,N11107,ORD,41.9796,-87.90446,CWA,13:07,13,14:12,341,-12.4,18.7,39.2,0.0,0.0,7,0,6.0,0.0,0.0,0,none,,,0.0,2015-01-10 13:07:00,,,120.0,0,0.24856770743669912,GREEN
2015-01-10_EV4715,2015-01-10,6,EV,4715,N11107,ORD,41.9796,-87.90446,BNA,16:33,16,18:02,658,-8.9,17.3,34.6,0.0,0.0,99,3,9.0,21.0,0.0,0,nas,0.0,0.0,0.0,2015-01-10 16:33:00,14:12,2015-01-10,206.0,0,0.28817482324033816,GREEN
2015-01-05_EV6108,2015-01-05,1,EV,6108,N11113,DEN,39.85841,-104.667,AMA,20:17,20,22:29,578,2.7,6.7,23.8,0.0,0.0,81,3,65.0,62.0,1.0,0,late_aircraft,61.0,0.0,0.0,2015-01-05 20:17:00,,,120.0,0,0.6930038097618209,AMBER
2015-01-06_EV4317,2015-01-06,2,EV,4317,N11113,DEN,39.85841,-104.667,HSV,10:57,10,14:26,1687,-4.8,10.5,17.6,0.0,0.0,2,0,9.0,1.0,0.0,0,none,,,62.0,2015-01-06 10:57:00,22:29,2015-01-05,880.0,0,0.2601920478322927,GREEN
2015-01-06_EV4532,2015-01-06,2,EV,4532,N11113,DEN,39.85841,-104.667,MTJ,19:05,19,20:03,315,1.4,5.1,6.8,0.0,0.0,99,3,21.0,15.0,1.0,0,carrier,0.0,0.0,1.0,2015-01-06 19:05:00,14:26,2015-01-06,488.0,0,0.43177919267886566,AMBER
2015-01-07_EV4860,2015-01-07,3,EV,4860,N11113,DEN,39.85841,-104.667,LFT,09:55,9,13:38,1574,-11.5,4.7,6.5,0.0,0.0,100,3,48.0,63.0,1.0,0,nas,0.0,0.0,15.0,2015-01-07 09:55:00,20:03,2015-01-06,890.0,0,0.6595998735372107,AMBER
2015-01-09_EV4271,2015-01-09,5,EV,4271,N11113,DEN,39.85841,-104.667,MOT,19:45,19,22:37,972,-8.9,9.7,5.8,0.0,0.0,0,0,16.0,16.0,1.0,0,late_aircraft,9.0,0.0,63.0,2015-01-09 19:45:00,13:38,2015-01-07,3470.0,0,0.6283508211241179,AMBER
2015-01-10_EV6004,2015-01-10,6,EV,6004,N11113,DEN,39.85841,-104.667,LNK,15:42,15,18:03,681,4.2,7.3,10.8,0.0,0.0,77,2,40.0,34.0,1.0,0,late_aircraft,34.0,0.0,16.0,2015-01-10 15:42:00,22:37,2015-01-09,1197.0,0,0.27809164940249914,GREEN
2015-01-11_EV4860,2015-01-11,7,EV,4860,N11113,DEN,39.85841,-104.667,LFT,09:55,9,13:38,1574,-6.0,4.0,16.9,0.0,0.0,99,3,-2.0,-13.0,0.0,0,none,,,34.0,2015-01-11 09:55:00,18:03,2015-01-10,1093.0,0,0.1567470797946355,GREEN
2015-01-05_EV4578,2015-01-05,1,EV,4578,N11119,DEN,39.85841,-104.667,CLE,18:40,18,23:29,1933,2.8,5.8,20.2,0.0,0.0,96,3,48.0,29.0,1.0,0,late_aircraft,29.0,0.0,0.0,2015-01-05 18:40:00,,,120.0,0,0.6339301002650255,AMBER
2015-01-06_EV5978,2015-01-06,2,EV,5978,N11119,ORD,41.9796,-87.90446,IND,08:10,8,10:15,285,-17.0,11.5,19.4,0.0,0.0,26,1,34.0,24.0,1.0,0,late_aircraft,24.0,0.0,29.0,2015-01-06 08:10:00,23:29,2015-01-05,810.0,0,0.7111060608126624,RED
2015-01-06_EV4743,2015-01-06,2,EV,4743,N11119,ORD,41.9796,-87.90446,FSD,11:55,11,13:37,744,-15.4,13.8,27.4,0.0,0.0,84,3,3.0,6.0,0.0,0,none,,,24.0,2015-01-06 11:55:00,10:15,2015-01-06,225.0,0,0.657181110264284,AMBER
2015-01-06_EV6050,2015-01-06,2,EV,6050,N11119,ORD,41.9796,-87.90446,DTW,16:06,16,18:29,378,-12.7,21.6,43.6,0.0,0.0,85,3,6.0,-7.0,0.0,0,none,,,6.0,2015-01-06 16:06:00,13:37,2015-01-06,251.0,0,0.5723275883037912,AMBER
2015-01-06_EV5905,2015-01-06,2,EV,5905,N11119,ORD,41.9796,-87.90446,LAN,21:05,21,23:03,288,-14.5,20.2,43.6,0.0,0.0,99,3,16.0,9.0,1.0,0,none,,,-7.0,2015-01-06 21:05:00,18:29,2015-01-06,299.0,0,0.6117495085166528,AMBER
2015-01-07_EV5910,2015-01-07,3,EV,5910,N11119,ORD,41.9796,-87.90446,BHM,06:45,6,08:39,940,-17.5,23.8,50.0,0.0,0.0,43,1,10.0,0.0,0.0,0,none,,,9.0,2015-01-07 06:45:00,23:03,2015-01-06,580.0,0,0.26954889526548204,GREEN
